Molecule Name,Molecular Formula,METLIN ID,Precursor Adduct,CCS1,CCS2,CCS3,CCS_AVG,% CV,m/z,Adduct,m/z.1,Dimer,Dimer.1,dimer line,CCS,m/z.2,pubChem,inchi,smiles,InChIKEY
"({[(2,4,6-trimethylphenyl)carbamoyl]methyl}carbamoyl)methyl 1-[(tert-butylcarbamoyl)methyl]cyclopentane-1-carboxylate",C25H37N3O5,1133361.0,460.2806[M+H],214.67,214.67,214.29,214.54,0.102262097,460.2806,[M+H],460.2806,245.4475375,Monomer,,135.0,50.0,16384698,"InChI=1S/C25H37N3O5/c1-16-11-17(2)22(18(3)12-16)27-20(30)14-26-21(31)15-33-23(32)25(9-7-8-10-25)13-19(29)28-24(4,5)6/h11-12H,7-10,13-15H2,1-6H3,(H,26,31)(H,27,30)(H,28,29)",O=C(COC(=O)C1(CCCC1)CC(=O)NC(C)(C)C)NCC(=O)Nc1c(C)cc(cc1C)C,FEGOCYXICMRAQQ-UHFFFAOYSA-N
"({[(2-chlorophenyl)carbamoyl]methyl}(methyl)carbamoyl)methyl 4'-hydroxy-[1,1'-biphenyl]-4-carboxylate",C24H21ClN2O5,1206876.0,453.1212[M+H],222.35,223.11,222.54,222.67,0.17762453,453.1212,[M+H],453.1212,243.520227,Monomer,,310.0,700.0,16292254,"InChI=1S/C24H21ClN2O5/c1-27(14-22(29)26-21-5-3-2-4-20(21)25)23(30)15-32-24(31)18-8-6-16(7-9-18)17-10-12-19(28)13-11-17/h2-13,28H,14-15H2,1H3,(H,26,29)",O=C(Nc1ccccc1Cl)CN(C(=O)COC(=O)c1ccc(cc1)c1ccc(cc1)O)C,XZVSMEAQRVNQGK-UHFFFAOYSA-N
({[(4-fluorophenyl)carbamoyl]methyl}(methyl)carbamoyl)methyl 2-(4-fluorobenzenesulfonamido)-3-hydroxybutanoate,C21H23F2N3O7S,1210764.0,500.1298[M+H],216.5,214.99,218.2,216.56,0.741566726,500.1298,[M+H],500.1298,256.1749422,Monomer,,,,17549454,"InChI=1S/C21H23F2N3O7S/c1-13(27)20(25-34(31,32)17-9-5-15(23)6-10-17)21(30)33-12-19(29)26(2)11-18(28)24-16-7-3-14(22)4-8-16/h3-10,13,20,25,27H,11-12H2,1-2H3,(H,24,28)",Fc1ccc(cc1)NC(=O)CN(C(=O)COC(=O)C(C(O)C)NS(=O)(=O)c1ccc(cc1)F)C,LDAYEKIUEBGJLJ-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 1,3-thiazole-4-carboxylate",C18H14N2O3S,1188636.0,339.0798[M+H],180.55,177.23,180.55,179.44,1.068213828,339.0798,[M+H],339.0798,212.8202822,Monomer,,,,47085016,"InChI=1S/C18H14N2O3S/c21-17(10-23-18(22)16-11-24-12-19-16)20-15-9-5-4-8-14(15)13-6-2-1-3-7-13/h1-9,11-12H,10H2,(H,20,21)",O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cscn1,DEQRRNRMXUSVMN-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 2-(cyclohexylformamido)acetate",C23H26N2O4,1179876.0,395.1965[M+H],196.63,196.44,196.05,196.37,0.150578643,395.1965,[M+H],395.1965,227.9268978,Monomer,,,,2082751,"InChI=1S/C23H26N2O4/c26-21(16-29-22(27)15-24-23(28)18-11-5-2-6-12-18)25-20-14-8-7-13-19(20)17-9-3-1-4-10-17/h1,3-4,7-10,13-14,18H,2,5-6,11-12,15-16H2,(H,24,28)(H,25,26)",O=C(CNC(=O)C1CCCCC1)OCC(=O)Nc1ccccc1c1ccccc1,KUZDOQGRXJZKKJ-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 2-(thiophene-2-sulfonamido)acetate",C20H18N2O5S2,1174949.0,431.0730[M+H],194.3,195.83,194.87,195.0,0.396533301,431.073,[M+H],431.073,237.5848516,Monomer,,,,46403850,"InChI=1S/C20H18N2O5S2/c23-18(14-27-19(24)13-21-29(25,26)20-11-6-12-28-20)22-17-10-5-4-9-16(17)15-7-2-1-3-8-15/h1-12,21H,13-14H2,(H,22,23)",O=C(Nc1ccccc1c1ccccc1)COC(=O)CNS(=O)(=O)c1cccs1,VJPXNTITQKGKJD-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 2,3-dimethoxybenzoate",C23H21NO5,1219659.0,392.1492[M+H],192.81,190.88,191.26,191.65,0.533472027,392.1492,[M+H],392.1492,227.1065646,Monomer,,,,8294380,"InChI=1S/C23H21NO5/c1-27-20-14-8-12-18(22(20)28-2)23(26)29-15-21(25)24-19-13-7-6-11-17(19)16-9-4-3-5-10-16/h3-14H,15H2,1-2H3,(H,24,25)",COc1cccc(c1OC)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,VUZGHTTWPSETTE-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 2,5-dichlorobenzoate",C21H15Cl2NO3,1177383.0,400.0502[M+H],191.33,189.98,191.14,190.82,0.382966064,400.0502,[M+H],400.0502,229.2335138,Monomer,,,,2449246,"InChI=1S/C21H15Cl2NO3/c22-15-10-11-18(23)17(12-15)21(26)27-13-20(25)24-19-9-5-4-8-16(19)14-6-2-1-3-7-14/h1-12H,13H2,(H,24,25)",O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cc(Cl)ccc1Cl,BDWXMEAHWNXMBU-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 2-phenylbutanoate",C24H23NO3,1222365.0,374.1751[M+H],184.43,183.07,185.01,184.17,0.540691287,374.1751,[M+H],374.1751,222.2679369,Monomer,,,,4014963,"InChI=1S/C24H23NO3/c1-2-20(18-11-5-3-6-12-18)24(27)28-17-23(26)25-22-16-10-9-15-21(22)19-13-7-4-8-14-19/h3-16,20H,2,17H2,1H3,(H,25,26)",CCC(c1ccccc1)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,SRZGODNHWWIJAB-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 3-(2-ethoxyphenyl)propanoate",C25H25NO4,1177148.0,404.1856[M+H],196.3,195.73,196.3,196.11,0.167808706,404.1856,[M+H],404.1856,230.3467635,Monomer,,,,7997988,"InChI=1S/C25H25NO4/c1-2-29-23-15-9-6-12-20(23)16-17-25(28)30-18-24(27)26-22-14-8-7-13-21(22)19-10-4-3-5-11-19/h3-15H,2,16-18H2,1H3,(H,26,27)",CCOc1ccccc1CCC(=O)OCC(=O)Nc1ccccc1c1ccccc1,WCBIFGFZMBFLHC-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 3-(dimethylamino)benzoate",C23H22N2O3,1177428.0,375.1703[M+H],197.18,196.79,197.75,197.24,0.24478012,375.1703,[M+H],375.1703,222.5358448,Monomer,,,,2413255,"InChI=1S/C23H22N2O3/c1-25(2)19-12-8-11-18(15-19)23(27)28-16-22(26)24-21-14-7-6-13-20(21)17-9-4-3-5-10-17/h3-15H,16H2,1-2H3,(H,24,26)",O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cccc(c1)N(C)C,BYODQVDXQYGARU-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 3-(methylsulfamoyl)benzoate",C22H20N2O5S,1195976.0,425.1166[M+H],200.74,201.13,201.13,201.0,0.112023187,425.1166,[M+H],425.1166,235.9813887,Monomer,,,,2588164,"InChI=1S/C22H20N2O5S/c1-23-30(27,28)18-11-7-10-17(14-18)22(26)29-15-21(25)24-20-13-6-5-12-19(20)16-8-3-2-4-9-16/h2-14,23H,15H2,1H3,(H,24,25)",CNS(=O)(=O)c1cccc(c1)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,UPWNHVNPZIWJGX-UHFFFAOYSA-N
"({[1,1'-biphenyl]-2-yl}carbamoyl)methyl 3,4-diethoxybenzoate",C25H25NO5,1181952.0,420.1805[M+H],213.22,207.51,213.41,211.38,1.586178658,420.1805,[M+H],420.1805,234.6525906,Monomer,,,,2450541,"InChI=1S/C25H25NO5/c1-3-29-22-15-14-19(16-23(22)30-4-2)25(28)31-17-24(27)26-21-13-9-8-12-20(21)18-10-6-5-7-11-18/h5-16H,3-4,17H2,1-2H3,(H,26,27)",CCOc1cc(ccc1OCC)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,ZNTSLNKVIIAASK-UHFFFAOYSA-N
